新华社北京9月26日电 近日，中共中央、国务院印发了《乡村振兴战略规划（2018－2022年）》，并发出通知，要求各地区各部门结合实际认真贯彻落实。
坚持农村基层党组织领导核心地位，大力推进村党组织书记通过法定程序担任村民委员会主任和集体经济组织、农民合作组织负责人，推行村“两委”班子成员交叉任职；提倡由非村民委员会成员的村党组织班子成员或党员担任村务监督委员会主任；村民委员会成员、村民代表中党员应当占一定比例。在以建制村为基本单元设置党组织的基础上，创新党组织设置。推动农村基层党组织和党员在脱贫攻坚和乡村振兴中提高威信、提升影响。加强农村新型经济组织和社会组织的党建工作，引导其始终坚持为农民服务的正确方向。
第二节　加强农村基层党组织带头人队伍建设
实施村党组织带头人整体优化提升行动。加大从本村致富能手、外出务工经商人员、本乡本土大学毕业生、复员退伍军人中培养选拔力度。以县为单位，逐村摸排分析，对村党组织书记集中调整优化，全面实行县级备案管理。健全从优秀村党组织书记中选拔乡镇领导干部、考录乡镇公务员、招聘乡镇事业编制人员机制。通过本土人才回引、院校定向培养、县乡统筹招聘等渠道，每个村储备一定数量的村级后备干部。全面向贫困村、软弱涣散村和集体经济薄弱村党组织派出第一书记，建立长效机制。
第三节　加强农村党员队伍建设
加强农村党员教育、管理、监督，推进“两学一做”学习教育常态化制度化，教育引导广大党员自觉用习近平新时代中国特色社会主义思想武装头脑。严格党的组织生活，全面落实“三会一课”、主题党日、谈心谈话、民主评议党员、党员联系农户等制度。加强农村流动党员管理。注重发挥无职党员作用。扩大党内基层民主，推进党务公开。加强党内激励关怀帮扶，定期走访慰问农村老党员、生活困难党员，帮助解决实际困难。稳妥有序开展不合格党员组织处置工作。加大在青年农民、外出务工人员、妇女中发展党员力度。
第四节　强化农村基层党组织建设责任与保障
推动全面从严治党向纵深发展、向基层延伸，严格落实各级党委尤其是县级党委主体责任，进一步压实县乡纪委监督责任，将抓党建促脱贫攻坚、促乡村振兴情况作为每年市县乡党委书记抓基层党建述职评议考核的重要内容，纳入巡视、巡察工作内容，作为领导班子综合评价和选拔任用领导干部的重要依据。坚持抓乡促村，整乡推进、整县提升，加强基本组织、基本队伍、基本制度、基本活动、基本保障建设，持续整顿软弱涣散村党组织。加强农村基层党风廉政建设，强化农村基层干部和党员的日常教育管理监督，加强对《农村基层干部廉洁履行职责若干规定（试行）》执行情况的监督检查，弘扬新风正气，抵制歪风邪气。充分发挥纪检监察机关在督促相关职能部门抓好中央政策落实方面的作用，加强对落实情况特别是涉农资金拨付、物资调配等工作的监督，开展扶贫领域腐败和作风问题专项治理，严厉打击农村基层黑恶势力和涉黑涉恶腐败及“保护伞”，严肃查处发生在惠农资金、征地拆迁、生态环保和农村“三资”管理领域的违纪违法问题，坚决纠正损害农民利益的行为，严厉整治群众身边腐败问题。全面执行以财政投入为主的稳定的村级组织运转经费保障政策。满怀热情关心关爱农村基层干部，政治上激励、工作上支持、待遇上保障、心理上关怀。重视发现和树立优秀农村基层干部典型，彰显榜样力量。
第二十六章　促进自治法治德治有机结合
坚持自治为基、法治为本、德治为先，健全和创新村党组织领导的充满活力的村民自治机制，强化法律权威地位，以德治滋养法治、涵养自治，让德治贯穿乡村治理全过程。
第一节　深化村民自治实践
加强农村群众性自治组织建设。完善农村民主选举、民主协商、民主决策、民主管理、民主监督制度。规范村民委员会等自治组织选举办法，健全民主决策程序。依托村民会议、村民代表会议、村民议事会、村民理事会等，形成民事民议、民事民办、民事民管的多层次基层协商格局。创新村民议事形式，完善议事决策主体和程序，落实群众知情权和决策权。全面建立健全村务监督委员会，健全务实管用的村务监督机制，推行村级事务阳光工程。充分发挥自治章程、村规民约在农村基层治理中的独特功能，弘扬公序良俗。继续开展以村民小组或自然村为基本单元的村民自治试点工作。加强基层纪委监委对村民委员会的联系和指导。
第二节　推进乡村法治建设
深入开展“法律进乡村”宣传教育活动，提高农民法治素养，引导干部群众尊法学法守法用法。增强基层干部法治观念、法治为民意识，把政府各项涉农工作纳入法治化轨道。维护村民委员会、农村集体经济组织、农村合作经济组织的特别法人地位和权利。深入推进综合行政执法改革向基层延伸，创新监管方式，推动执法队伍整合、执法力量下沉，提高执法能力和水平。加强乡村人民调解组织建设，建立健全乡村调解、县市仲裁、司法保障的农村土地承包经营纠纷调处机制。健全农村公共法律服务体系，加强对农民的法律援助、司法救助和公益法律服务。深入开展法治县（市、区）、民主法治示范村等法治创建活动，深化农村基层组织依法治理。
第三节　提升乡村德治水平
深入挖掘乡村熟人社会蕴含的道德规范，结合时代要求进行创新，强化道德教化作用，引导农民向上向善、孝老爱亲、重义守信、勤俭持家。建立道德激励约束机制，引导农民自我管理、自我教育、自我服务、自我提高，实现家庭和睦、邻里和谐、干群融洽。积极发挥新乡贤作用。深入推进移风易俗，开展专项文明行动，遏制大操大办、相互攀比、“天价彩礼”、厚葬薄养等陈规陋习。加强无神论宣传教育，抵制封建迷信活动。深化农村殡葬改革。
第四节　建设平安乡村
健全落实社会治安综合治理领导责任制，健全农村社会治安防控体系，推动社会治安防控力量下沉，加强农村群防群治队伍建设。深入开展扫黑除恶专项斗争。依法加大对农村非法宗教、邪教活动打击力度，严防境外渗透，继续整治农村乱建宗教活动场所、滥塑宗教造像。完善县乡村三级综治中心功能和运行机制。健全农村公共安全体系，持续开展农村安全隐患治理。加强农村警务、消防、安全生产工作，坚决遏制重特大安全事故。健全矛盾纠纷多元化解机制，深入排查化解各类矛盾纠纷，全面推广“枫桥经验”，做到小事不出村、大事不出乡（镇）。落实乡镇政府农村道路交通安全监督管理责任，探索实施“路长制”。探索以网格化管理为抓手，推动基层服务和管理精细化精准化。推进农村“雪亮工程”建设。
第二十七章　夯实基层政权
科学设置乡镇机构，构建简约高效的基层管理体制，健全农村基层服务体系，夯实乡村治理基础。
第一节　加强基层政权建设
面向服务人民群众合理设置基层政权机构、调配人力资源，不简单照搬上级机关设置模式。根据工作需要，整合基层审批、服务、执法等方面力量，统筹机构编制资源，整合相关职能设立综合性机构，实行扁平化和网格化管理。推动乡村治理重心下移，尽可能把资源、服务、管理下放到基层。加强乡镇领导班子建设，有计划地选派省市县机关部门有发展潜力的年轻干部到乡镇任职。加大从优秀选调生、乡镇事业编制人员、优秀村干部、大学生村官中选拔乡镇领导班子成员力度。加强边境地区、民族地区农村基层政权建设相关工作。
第二节　创新基层管理体制机制
明确县乡财政事权和支出责任划分，改进乡镇财政预算管理制度。推进乡镇协商制度化、规范化建设，创新联系服务群众工作方法。推进直接服务民生的公共事业部门改革，改进服务方式，最大限度方便群众。推动乡镇政务服务事项一窗式办理、部门信息系统一平台整合、社会服务管理大数据一口径汇集，不断提高乡村治理智能化水平。健全监督体系，规范乡镇管理行为。改革创新考评体系，强化以群众满意度为重点的考核导向。严格控制对乡镇设立不切实际的“一票否决”事项。
第三节　健全农村基层服务体系
制定基层政府在村（农村社区）治理方面的权责清单，推进农村基层服务规范化标准化。整合优化公共服务和行政审批职责，打造“一门式办理”、“一站式服务”的综合服务平台。在村庄普遍建立网上服务站点，逐步形成完善的乡村便民服务体系。大力培育服务性、公益性、互助性农村社会组织，积极发展农村社会工作和志愿服务。开展农村基层减负工作，集中清理对村级组织考核评比多、创建达标多、检查督查多等突出问题。

图表：专栏11 乡村治理体系构建计划 新华社发
第九篇　保障和改善农村民生
坚持人人尽责、人人享有，围绕农民群众最关心最直接最现实的利益问题，加快补齐农村民生短板，提高农村美好生活保障水平，让农民群众有更多实实在在的获得感、幸福感、安全感。
第二十八章　加强农村基础设施建设
继续把基础设施建设重点放在农村，持续加大投入力度，加快补齐农村基础设施短板，促进城乡基础设施互联互通，推动农村基础设施提挡升级。
第一节　改善农村交通物流设施条件
以示范县为载体全面推进“四好农村路”建设，深化农村公路管理养护体制改革，健全管理养护长效机制，完善安全防护设施，保障农村地区基本出行条件。推动城市公共交通线路向城市周边延伸，鼓励发展镇村公交，实现具备条件的建制村全部通客车。加大对革命老区、民族地区、边疆地区、贫困地区铁路公益性运输的支持力度，继续开好“慢火车”。加快构建农村物流基础设施骨干网络，鼓励商贸、邮政、快递、供销、运输等企业加大在农村地区的设施网络布局。加快完善农村物流基础设施末端网络，鼓励有条件的地区建设面向农村地区的共同配送中心。
第二节　加强农村水利基础设施网络建设
构建大中小微结合、骨干和田间衔接、长期发挥效益的农村水利基础设施网络，着力提高节水供水和防洪减灾能力。科学有序推进重大水利工程建设，加强灾后水利薄弱环节建设，统筹推进中小型水源工程和抗旱应急能力建设。巩固提升农村饮水安全保障水平，开展大中型灌区续建配套节水改造与现代化建设，有序新建一批节水型、生态型灌区，实施大中型灌排泵站更新改造。推进小型农田水利设施达标提质，实施水系连通和河塘清淤整治等工程建设。推进智慧水利建设。深化农村水利工程产权制度与管理体制改革，健全基层水利服务体系，促进工程长期良性运行。
第三节　构建农村现代能源体系
优化农村能源供给结构，大力发展太阳能、浅层地热能、生物质能等，因地制宜开发利用水能和风能。完善农村能源基础设施网络，加快新一轮农村电网升级改造，推动供气设施向农村延伸。加快推进生物质热电联产、生物质供热、规模化生物质天然气和规模化大型沼气等燃料清洁化工程。推进农村能源消费升级，大幅提高电能在农村能源消费中的比重，加快实施北方农村地区冬季清洁取暖，积极稳妥推进散煤替代。推广农村绿色节能建筑和农用节能技术、产品。大力发展“互联网+”智慧能源，探索建设农村能源革命示范区。
第四节　夯实乡村信息化基础
深化电信普遍服务，加快农村地区宽带网络和第四代移动通信网络覆盖步伐。实施新一代信息基础设施建设工程。实施数字乡村战略，加快物联网、地理信息、智能设备等现代信息技术与农村生产生活的全面深度融合，深化农业农村大数据创新应用，推广远程教育、远程医疗、金融服务进村等信息服务，建立空间化、智能化的新型农村统计信息系统。在乡村信息化基础设施建设过程中，同步规划、同步建设、同步实施网络安全工作。

图表：专栏12 农村基础设施建设重大工程 新华社发
第二十九章　提升农村劳动力就业质量
坚持就业优先战略和积极就业政策，健全城乡均等的公共就业服务体系，不断提升农村劳动者素质，拓展农民外出就业和就地就近就业空间，实现更高质量和更充分就业。
第一节　拓宽转移就业渠道
增强经济发展创造就业岗位能力，拓宽农村劳动力转移就业渠道，引导农村劳动力外出就业，更加积极地支持就地就近就业。发展壮大县域经济，加快培育区域特色产业，拓宽农民就业空间。大力发展吸纳就业能力强的产业和企业，结合新型城镇化建设合理引导产业梯度转移，创造更多适合农村劳动力转移就业的机会，推进农村劳动力转移就业示范基地建设。加强劳务协作，积极开展有组织的劳务输出。实施乡村就业促进行动，大力发展乡村特色产业，推进乡村经济多元化，提供更多就业岗位。结合农村基础设施等工程建设，鼓励采取以工代赈方式就近吸纳农村劳动力务工。
第二节　强化乡村就业服务
健全覆盖城乡的公共就业服务体系，提供全方位公共就业服务。加强乡镇、行政村基层平台建设，扩大就业服务覆盖面，提升服务水平。开展农村劳动力资源调查统计，建立农村劳动力资源信息库并实行动态管理。加快公共就业服务信息化建设，打造线上线下一体的服务模式。推动建立覆盖城乡全体劳动者、贯穿劳动者学习工作终身、适应就业和人才成长需要的职业技能培训制度，增强职业培训的针对性和有效性。在整合资源基础上，合理布局建设一批公共实训基地。
第三节　完善制度保障体系
推动形成平等竞争、规范有序、城乡统一的人力资源市场，建立健全城乡劳动者平等就业、同工同酬制度，提高就业稳定性和收入水平。健全人力资源市场法律法规体系，依法保障农村劳动者和用人单位合法权益。完善政府、工会、企业共同参与的协调协商机制，构建和谐劳动关系。落实就业服务、人才激励、教育培训、资金奖补、金融支持、社会保险等就业扶持相关政策。加强就业援助，对就业困难农民实行分类帮扶。

图表：专栏13 乡村就业促进行动 新华社发
第三十章　增加农村公共服务供给
继续把国家社会事业发展的重点放在农村，促进公共教育、医疗卫生、社会保障等资源向农村倾斜，逐步建立健全全民覆盖、普惠共享、城乡一体的基本公共服务体系，推进城乡基本公共服务均等化。
第一节　优先发展农村教育事业
统筹规划布局农村基础教育学校，保障学生就近享有有质量的教育。科学推进义务教育公办学校标准化建设，全面改善贫困地区义务教育薄弱学校基本办学条件，加强寄宿制学校建设，提升乡村教育质量，实现县域校际资源均衡配置。发展农村学前教育，每个乡镇至少办好1所公办中心幼儿园，完善县乡村学前教育公共服务网络。继续实施特殊教育提升计划。科学稳妥推行民族地区乡村中小学双语教育，坚定不移推行国家通用语言文字教育。实施高中阶段教育普及攻坚计划，提高高中阶段教育普及水平。大力发展面向农村的职业教育，加快推进职业院校布局结构调整，加强县级职业教育中心建设，有针对性地设置专业和课程，满足乡村产业发展和振兴需要。推动优质学校辐射农村薄弱学校常态化，加强城乡教师交流轮岗。积极发展“互联网+教育”，推进乡村学校信息化基础设施建设，优化数字教育资源公共服务体系。落实好乡村教师支持计划，继续实施农村义务教育学校教师特设岗位计划，加强乡村学校紧缺学科教师和民族地区双语教师培训，落实乡村教师生活补助政策，建好建强乡村教师队伍。
第二节　推进健康乡村建设
深入实施国家基本公共卫生服务项目，完善基本公共卫生服务项目补助政策，提供基础性全方位全周期的健康管理服务。加强慢性病、地方病综合防控，大力推进农村地区精神卫生、职业病和重大传染病防治。深化农村计划生育管理服务改革，落实全面两孩政策。增强妇幼健康服务能力，倡导优生优育。加强基层医疗卫生服务体系建设，基本实现每个乡镇都有1所政府举办的乡镇卫生院，每个行政村都有1所卫生室，每个乡镇卫生院都有全科医生，支持中西部地区基层医疗卫生机构标准化建设和设备提挡升级。切实加强乡村医生队伍建设，支持并推动乡村医生申请执业（助理）医师资格。全面建立分级诊疗制度，实行差别化的医保支付和价格政策。深入推进基层卫生综合改革，完善基层医疗卫生机构绩效工资制度。开展和规范家庭医生签约服务。树立大卫生大健康理念，广泛开展健康教育活动，倡导科学文明健康的生活方式，养成良好卫生习惯，提升居民文明卫生素质。
第三节　加强农村社会保障体系建设
按照兜底线、织密网、建机制的要求，全面建成覆盖全民、城乡统筹、权责清晰、保障适度、可持续的多层次社会保障体系。进一步完善城乡居民基本养老保险制度，加快建立城乡居民基本养老保险待遇确定和基础养老金标准正常调整机制。完善统一的城乡居民基本医疗保险制度和大病保险制度，做好农民重特大疾病救助工作，健全医疗救助与基本医疗保险、城乡居民大病保险及相关保障制度的衔接机制，巩固城乡居民医保全国异地就医联网直接结算。推进低保制度城乡统筹发展，健全低保标准动态调整机制。全面实施特困人员救助供养制度，提升托底保障能力和服务质量。推动各地通过政府购买服务、设置基层公共管理和社会服务岗位、引入社会工作专业人才和志愿者等方式，为农村留守儿童和妇女、老年人以及困境儿童提供关爱服务。加强和改善农村残疾人服务，将残疾人普遍纳入社会保障体系予以保障和扶持。
第四节　提升农村养老服务能力
适应农村人口老龄化加剧形势，加快建立以居家为基础、社区为依托、机构为补充的多层次农村养老服务体系。以乡镇为中心，建立具有综合服务功能、医养相结合的养老机构，与农村基本公共服务、农村特困供养服务、农村互助养老服务相互配合，形成农村基本养老服务网络。提高乡村卫生服务机构为老年人提供医疗保健服务的能力。支持主要面向失能、半失能老年人的农村养老服务设施建设，推进农村幸福院等互助型养老服务发展，建立健全农村留守老年人关爱服务体系。开发农村康养产业项目。鼓励村集体建设用地优先用于发展养老服务。
第五节　加强农村防灾减灾救灾能力建设
坚持以防为主、防抗救相结合，坚持常态减灾与非常态救灾相统一，全面提高抵御各类灾害综合防范能力。加强农村自然灾害监测预报预警，解决农村预警信息发布“最后一公里”问题。加强防灾减灾工程建设，推进实施自然灾害高风险区农村困难群众危房改造。全面深化森林、草原火灾防控治理。大力推进农村公共消防设施、消防力量和消防安全管理组织建设，改善农村消防安全条件。推进自然灾害救助物资储备体系建设。开展灾害救助应急预案编制和演练，完善应对灾害的政策支持体系和灾后重建工作机制。在农村广泛开展防灾减灾宣传教育。

图表：专栏14 农村公共服务提升计划 新华社发
第十篇　完善城乡融合发展政策体系
顺应城乡融合发展趋势，重塑城乡关系，更好激发农村内部发展活力、优化农村外部发展环境，推动人才、土地、资本等要素双向流动，为乡村振兴注入新动能。
第三十一章　加快农业转移人口市民化
加快推进户籍制度改革，全面实行居住证制度，促进有能力在城镇稳定就业和生活的农业转移人口有序实现市民化。
第一节　健全落户制度
鼓励各地进一步放宽落户条件，除极少数超大城市外，允许农业转移人口在就业地落户，优先解决农村学生升学和参军进入城镇的人口、在城镇就业居住5年以上和举家迁徙的农业转移人口以及新生代农民工落户问题。区分超大城市和特大城市主城区、郊区、新区等区域，分类制定落户政策，重点解决符合条件的普通劳动者落户问题。全面实行居住证制度，确保各地居住证申领门槛不高于国家标准、享受的各项基本公共服务和办事便利不低于国家标准，推进居住证制度覆盖全部未落户城镇常住人口。
第二节　保障享有权益
不断扩大城镇基本公共服务覆盖面，保障符合条件的未落户农民工在流入地平等享受城镇基本公共服务。通过多种方式增加学位供给，保障农民工随迁子女以流入地公办学校为主接受义务教育，以普惠性幼儿园为主接受学前教育。完善就业失业登记管理制度，面向农业转移人口全面提供政府补贴职业技能培训服务。将农业转移人口纳入社区卫生和计划生育服务体系，提供基本医疗卫生服务。把进城落户农民完全纳入城镇社会保障体系，在农村参加的养老保险和医疗保险规范接入城镇社会保障体系，做好基本医疗保险关系转移接续和异地就医结算工作。把进城落户农民完全纳入城镇住房保障体系，对符合条件的采取多种方式满足基本住房需求。
第三节　完善激励机制
维护进城落户农民土地承包权、宅基地使用权、集体收益分配权，引导进城落户农民依法自愿有偿转让上述权益。加快户籍变动与农村“三权”脱钩，不得以退出“三权”作为农民进城落户的条件，促使有条件的农业转移人口放心落户城镇。落实支持农业转移人口市民化财政政策，以及城镇建设用地增加规模与吸纳农业转移人口落户数量挂钩政策，健全由政府、企业、个人共同参与的市民化成本分担机制。
第三十二章　强化乡村振兴人才支撑
实行更加积极、更加开放、更加有效的人才政策，推动乡村人才振兴，让各类人才在乡村大施所能、大展才华、大显身手。
第一节　培育新型职业农民
全面建立职业农民制度，培养新一代爱农业、懂技术、善经营的新型职业农民，优化农业从业者结构。实施新型职业农民培育工程，支持新型职业农民通过弹性学制参加中高等农业职业教育。创新培训组织形式，探索田间课堂、网络教室等培训方式，支持农民专业合作社、专业技术协会、龙头企业等主体承担培训。鼓励各地开展职业农民职称评定试点。引导符合条件的新型职业农民参加城镇职工养老、医疗等社会保障制度。
第二节　加强农村专业人才队伍建设
加大“三农”领域实用专业人才培育力度，提高农村专业人才服务保障能力。加强农技推广人才队伍建设，探索公益性和经营性农技推广融合发展机制，允许农技人员通过提供增值服务合理取酬，全面实施农技推广服务特聘计划。加强涉农院校和学科专业建设，大力培育农业科技、科普人才，深入实施农业科研杰出人才计划和杰出青年农业科学家项目，深化农业系列职称制度改革。
第三节　鼓励社会人才投身乡村建设
建立健全激励机制，研究制定完善相关政策措施和管理办法，鼓励社会人才投身乡村建设。以乡情乡愁为纽带，引导和支持企业家、党政干部、专家学者、医生教师、规划师、建筑师、律师、技能人才等，通过下乡担任志愿者、投资兴业、行医办学、捐资捐物、法律服务等方式服务乡村振兴事业，允许符合要求的公职人员回乡任职。落实和完善融资贷款、配套设施建设补助、税费减免等扶持政策，引导工商资本积极投入乡村振兴事业。继续实施“三区”（边远贫困地区、边疆民族地区和革命老区）人才支持计划，深入推进大学生村官工作，因地制宜实施“三支一扶”、高校毕业生基层成长等计划，开展乡村振兴“巾帼行动”、青春建功行动。建立城乡、区域、校地之间人才培养合作与交流机制。全面建立城市医生教师、科技文化人员等定期服务乡村机制。

图表：专栏15 乡村振兴人才支撑计划 新华社发
第三十三章　加强乡村振兴用地保障
完善农村土地利用管理政策体系，盘活存量，用好流量，辅以增量，激活农村土地资源资产，保障乡村振兴用地需求。
第一节　健全农村土地管理制度
总结农村土地征收、集体经营性建设用地入市、宅基地制度改革试点经验，逐步扩大试点，加快土地管理法修改。探索具体用地项目公共利益认定机制，完善征地补偿标准，建立被征地农民长远生计的多元保障机制。建立健全依法公平取得、节约集约使用、自愿有偿退出的宅基地管理制度。在符合规划和用途管制前提下，赋予农村集体经营性建设用地出让、租赁、入股权能，明确入市范围和途径。建立集体经营性建设用地增值收益分配机制。
第二节　完善农村新增用地保障机制
统筹农业农村各项土地利用活动，乡镇土地利用总体规划可以预留一定比例的规划建设用地指标，用于农业农村发展。根据规划确定的用地结构和布局，年度土地利用计划分配中可安排一定比例新增建设用地指标专项支持农业农村发展。对于农业生产过程中所需各类生产设施和附属设施用地，以及由于农业规模经营必须兴建的配套设施，在不占用永久基本农田的前提下，纳入设施农用地管理，实行县级备案。鼓励农业生产与村庄建设用地复合利用，发展农村新产业新业态，拓展土地使用功能。
第三节　盘活农村存量建设用地
完善农民闲置宅基地和闲置农房政策，探索宅基地所有权、资格权、使用权“三权分置”，落实宅基地集体所有权，保障宅基地农户资格权和农民房屋财产权，适度放活宅基地和农民房屋使用权，不得违规违法买卖宅基地，严格实行土地用途管制，严格禁止下乡利用农村宅基地建设别墅大院和私人会馆。在符合土地利用总体规划前提下，允许县级政府通过村土地利用规划调整优化村庄用地布局，有效利用农村零星分散的存量建设用地。对利用收储农村闲置建设用地发展农村新产业新业态的，给予新增建设用地指标奖励。
第三十四章　健全多元投入保障机制
健全投入保障制度，完善政府投资体制，充分激发社会投资的动力和活力，加快形成财政优先保障、社会积极参与的多元投入格局。
第一节　继续坚持财政优先保障
建立健全实施乡村振兴战略财政投入保障制度，明确和强化各级政府“三农”投入责任，公共财政更大力度向“三农”倾斜，确保财政投入与乡村振兴目标任务相适应。规范地方政府举债融资行为，支持地方政府发行一般债券用于支持乡村振兴领域公益性项目，鼓励地方政府试点发行项目融资和收益自平衡的专项债券，支持符合条件、有一定收益的乡村公益性建设项目。加大政府投资对农业绿色生产、可持续发展、农村人居环境、基本公共服务等重点领域和薄弱环节支持力度，充分发挥投资对优化供给结构的关键性作用。充分发挥规划的引领作用，推进行业内资金整合与行业间资金统筹相互衔接配合，加快建立涉农资金统筹整合长效机制。强化支农资金监督管理，提高财政支农资金使用效益。
第二节　提高土地出让收益用于农业农村比例
开拓投融资渠道，健全乡村振兴投入保障制度，为实施乡村振兴战略提供稳定可靠资金来源。坚持取之于地，主要用之于农的原则，制定调整完善土地出让收入使用范围、提高农业农村投入比例的政策性意见，所筹集资金用于支持实施乡村振兴战略。改进耕地占补平衡管理办法，建立高标准农田建设等新增耕地指标和城乡建设用地增减挂钩节余指标跨省域调剂机制，将所得收益通过支出预算全部用于巩固脱贫攻坚成果和支持实施乡村振兴战略。
第三节　引导和撬动社会资本投向农村
优化乡村营商环境，加大农村基础设施和公用事业领域开放力度，吸引社会资本参与乡村振兴。规范有序盘活农业农村基础设施存量资产，回收资金主要用于补短板项目建设。继续深化“放管服”改革，鼓励工商资本投入农业农村，为乡村振兴提供综合性解决方案。鼓励利用外资开展现代农业、产业融合、生态修复、人居环境整治和农村基础设施等建设。推广一事一议、以奖代补等方式，鼓励农民对直接受益的乡村基础设施建设投工投劳，让农民更多参与建设管护。
第三十五章　加大金融支农力度
健全适合农业农村特点的农村金融体系，把更多金融资源配置到农村经济社会发展的重点领域和薄弱环节，更好满足乡村振兴多样化金融需求。
第一节　健全金融支农组织体系
发展乡村普惠金融。深入推进银行业金融机构专业化体制机制建设，形成多样化农村金融服务主体。指导大型商业银行立足普惠金融事业部等专营机制建设，完善专业化的“三农”金融服务供给机制。完善中国农业银行、中国邮政储蓄银行“三农”金融事业部运营体系，明确国家开发银行、中国农业发展银行在乡村振兴中的职责定位，加大对乡村振兴信贷支持。支持中小型银行优化网点渠道建设，下沉服务重心。推动农村信用社省联社改革，保持农村信用社县域法人地位和数量总体稳定，完善村镇银行准入条件。引导农民合作金融健康有序发展。鼓励证券、保险、担保、基金、期货、租赁、信托等金融资源聚焦服务乡村振兴。
第二节　创新金融支农产品和服务
加快农村金融产品和服务方式创新，持续深入推进农村支付环境建设，全面激活农村金融服务链条。稳妥有序推进农村承包土地经营权、农民住房财产权、集体经营性建设用地使用权抵押贷款试点。探索县级土地储备公司参与农村承包土地经营权和农民住房财产权“两权”抵押试点工作。充分发挥全国信用信息共享平台和金融信用信息基础数据库的作用，探索开发新型信用类金融支农产品和服务。结合农村集体产权制度改革，探索利用量化的农村集体资产股权的融资方式。提高直接融资比重，支持农业企业依托多层次资本市场发展壮大。创新服务模式，引导持牌金融机构通过互联网和移动终端提供普惠金融服务，促进金融科技与农村金融规范发展。
第三节　完善金融支农激励政策
继续通过奖励、补贴、税收优惠等政策工具支持“三农”金融服务。抓紧出台金融服务乡村振兴的指导意见。发挥再贷款、再贴现等货币政策工具的引导作用，将乡村振兴作为信贷政策结构性调整的重要方向。落实县域金融机构涉农贷款增量奖励政策，完善涉农贴息贷款政策，降低农户和新型农业经营主体的融资成本。健全农村金融风险缓释机制，加快完善“三农”融资担保体系。充分发挥好国家融资担保基金的作用，强化担保融资增信功能，引导更多金融资源支持乡村振兴。制定金融机构服务乡村振兴考核评估办法。改进农村金融差异化监管体系，合理确定金融机构发起设立和业务拓展的准入门槛。守住不发生系统性金融风险底线，强化地方政府金融风险防范处置责任。

图表：专栏16 乡村振兴金融支撑重大工程 新华社发
第十一篇　规划实施
实行中央统筹、省负总责、市县抓落实的乡村振兴工作机制，坚持党的领导，更好履行各级政府职责，凝聚全社会力量，扎实有序推进乡村振兴。
第三十六章　加强组织领导
坚持党总揽全局、协调各方，强化党组织的领导核心作用，提高领导能力和水平，为实现乡村振兴提供坚强保证。
第一节　落实各方责任
强化地方各级党委和政府在实施乡村振兴战略中的主体责任，推动各级干部主动担当作为。坚持工业农业一起抓、城市农村一起抓，把农业农村优先发展原则体现到各个方面。坚持乡村振兴重大事项、重要问题、重要工作由党组织讨论决定的机制，落实党政一把手是第一责任人、五级书记抓乡村振兴的工作要求。县委书记要当好乡村振兴“一线总指挥”，下大力气抓好“三农”工作。各地区要依照国家规划科学编制乡村振兴地方规划或方案，科学制定配套政策和配置公共资源，明确目标任务，细化实化政策措施，增强可操作性。各部门要各司其职、密切配合，抓紧制定专项规划或指导意见，细化落实并指导地方完成国家规划提出的主要目标任务。建立健全规划实施和工作推进机制，加强政策衔接和工作协调。培养造就一支懂农业、爱农村、爱农民的“三农”工作队伍，带领群众投身乡村振兴伟大事业。
第二节　强化法治保障
各级党委和政府要善于运用法治思维和法治方式推进乡村振兴工作，严格执行现行涉农法律法规，在规划编制、项目安排、资金使用、监督管理等方面，提高规范化、制度化、法治化水平。完善乡村振兴法律法规和标准体系，充分发挥立法在乡村振兴中的保障和推动作用。推动各类组织和个人依法依规实施和参与乡村振兴。加强基层执法队伍建设，强化市场监管，规范乡村市场秩序，有效促进社会公平正义，维护人民群众合法权益。
第三节　动员社会参与
搭建社会参与平台，加强组织动员，构建政府、市场、社会协同推进的乡村振兴参与机制。创新宣传形式，广泛宣传乡村振兴相关政策和生动实践，营造良好社会氛围。发挥工会、共青团、妇联、科协、残联等群团组织的优势和力量，发挥各民主党派、工商联、无党派人士等积极作用，凝聚乡村振兴强大合力。建立乡村振兴专家决策咨询制度，组织智库加强理论研究。促进乡村振兴国际交流合作，讲好乡村振兴的中国故事，为世界贡献中国智慧和中国方案。
第四节　开展评估考核
加强乡村振兴战略规划实施考核监督和激励约束。将规划实施成效纳入地方各级党委和政府及有关部门的年度绩效考评内容，考核结果作为有关领导干部年度考核、选拔任用的重要依据，确保完成各项目标任务。本规划确定的约束性指标以及重大工程、重大项目、重大政策和重要改革任务，要明确责任主体和进度要求，确保质量和效果。加强乡村统计工作，因地制宜建立客观反映乡村振兴进展的指标和统计体系。建立规划实施督促检查机制，适时开展规划中期评估和总结评估。
第三十七章　有序实现乡村振兴
充分认识乡村振兴任务的长期性、艰巨性，保持历史耐心，避免超越发展阶段，统筹谋划，典型带动，有序推进，不搞齐步走。
第一节　准确聚焦阶段任务
