工作	gong zuo 
江达县	jiang da xian 
配套性	pei tao xing 
铜鼓县	tong gu xian 
谢家	xie jia 
融安	rong an 
不得不	bu de bu 
艺术创作	yi shu chuang zuo 
杨村	yang cun 
传习	chuan xi 
分场	fen chang 
沽源县	gu yuan xian 
五处	wu chu 
体制性	ti zhi xing 
党性原则	dang xing yuan ze 
河区	he qu 
中东欧	zhong dong ou 
东安	dong an 
坎乡	kan xiang 
天津海关	tian jin hai guan 
柳河县	liu he xian 
缓坡	huan po 
襄城区	xiang cheng qu 
未成年工	wei cheng nian gong 
青羊区	qing yang qu 
重点对象	zhong dian dui xiang 
苏村	su cun 
押金	ya jin 
安福县	an fu xian 
术语	shu yu 
理货	li huo 
礼金	li jin 
广开	guang kai 
任前	ren qian 
手工劳动	shou gong lao dong 
个人利益	ge ren li yi 
评测	ping ce 
灌溉水	guan gai shui 
温暖	wen nuan 
科技开发	ke ji kai fa 
迭部县	die bu xian 
贵州大学	gui zhou da xue 
旺堆	wang dui 
诚通	cheng tong 
舟曲县	zhou qu xian 
结合部	jie he bu 
公平交易	gong ping jiao yi 
镇平县	zhen ping xian 
珍珠	zhen zhu 
众人	zhong ren 
切身感受	qie shen gan shou 
必先	bi xian 
传化	chuan hua 
实情	shi qing 
体育用品	ti yu yong pin 
保险费用	bao xian fei yong 
只设	zhi she 
张北县	zhang bei xian 
突然袭击	tu ran xi ji 
委为	wei wei 
格外	ge wai 
运动场	yun dong chang 
报损	bao sun 
山亭区	shan ting qu 
虎门	hu men 
票人	piao ren 
观山	guan shan 
青稞	qing ke 
仁安羌	ren an qiang 
九间	jiu jian 
凌云县	ling yun xian 
拥挤	yong ji 
正大	zheng da 
松山	song shan 
长平	zhang ping 
劳动所得	lao dong suo de 
种养业	zhong yang ye 
落实到人	luo shi dao ren 
教学方式	jiao xue fang shi 
居民点	ju min dian 
魏桥	wei qiao 
误导性	wu dao xing 
镇木	zhen mu 
敖汉旗	ao han qi 
大龄	da ling 
颁布实施	ban bu shi shi 
许诺	xu nuo 
公养	gong yang 
进口国	jin kou guo 
新田县	xin tian xian 
商贸业	shang mao ye 
湖等	hu deng 
专管员	zhuan guan yuan 
二元	er yuan 
杀菌	sha jun 
协办	xie ban 
火化	huo hua 
条条框框	tiao tiao kuang kuang 
治超	zhi chao 
国际刑警组织	guo ji xing jing zu zhi 
新城镇	xin cheng zhen 
明溪县	ming xi xian 
羊毛	yang mao 
澳门地区	ao men di qu 
密织	mi zhi 
金口河区	jin kou he qu 
澳门特别行政区基本法	ao men te bie xing zheng qu ji ben fa 
葡萄	pu tao 
众多	zhong duo 
声称	sheng cheng 
根本途径	gen ben tu jing 
涟水县	lian shui xian 
文风	wen feng 
划出	hua chu 
富池	fu chi 
牛头	niu tou 
证券犯罪	zheng quan fan zui 
商调	shang diao 
暂准	zan zhun 
脱硝	tuo xiao 
局是	ju shi 
国有资产管理局	guo you zi chan guan li ju 
内未	nei wei 
万个	wan ge 
港务	gang wu 
定购	ding gou 
大成	da cheng 
广电集团	guang dian ji tuan 
坐标系	zuo biao xi 
裴寨村	pei zhai cun 
有价	you jia 
补记	bu ji 
法制环境	fa zhi huan jing 
比价	bi jia 
压覆	ya fu 
靖州	jing zhou 
延解	yan jie 
抽采	chou cai 
开原市	kai yuan shi 
迎接挑战	ying jie tiao zhan 
杂技	za ji 
大地	da di 
乡乡	xiang xiang 
塑料制品	su liao zhi pin 
指因	zhi yin 
药价	yao jia 
驾驭	jia yu 
黄平县	huang ping xian 
低价	di jia 
片面	pian mian 
顾全大局	gu quan da ju 
旱天	han tian 
硬骨头	ying gu tou 
蓬勃发展	peng bo fa zhan 
河北省政府	he bei sheng zheng fu 
寻租	xun zu 
捍卫	han wei 
不断深入	bu duan shen ru 
阳性	yang xing 
造册	zao ce 
应适当	ying shi dang 
服务提供商	fu wu ti gong shang 
八柱	ba zhu 
友好关系	you hao guan xi 
管村	guan cun 
表单	biao dan 
五日	wu ri 
禁渔	jin yu 
上栗县	shang li xian 
现金支付	xian jin zhi fu 
洋浦港	yang pu gang 
行规	hang gui 
展演	zhan yan 
清丰县	qing feng xian 
找人	zhao ren 
专车接送	zhuan che jie song 
外贸体制	wai mao ti zhi 
品位	pin wei 
调查队	diao cha dui 
清水	qing shui 
居所	ju suo 
庙岭	miao ling 
完结	wan jie 
泰顺县	tai shun xian 
切换	qie huan 
周宁县	zhou ning xian 
桐木	tong mu 
审批同意	shen pi tong yi 
田林县	tian lin xian 
由点	you dian 
生产型	sheng chan xing 
冠县	guan xian 
孝南区	xiao nan qu 
乐山	le shan 
颠覆	dian fu 
七大	qi da 
工信	gong xin 
几年	ji nian 
网络科技	wang luo ke ji 
党群干群	dang qun gan qun 
物体	wu ti 
区域科学	qu yu ke xue 
七月	qi yue 
抽贷	chou dai 
区划图	qu hua tu 
生物质能	sheng wu zhi neng 
屏南	ping nan 
行政监督	xing zheng jian du 
长白山	chang bai shan 
利在	li zai 
账目	zhang mu 
库房	ku fang 
能动性	neng dong xing 
猴场	hou chang 
杆顶	gan ding 
郸城县	dan cheng xian 
心理素质	xin li su zhi 
中央电视台	zhong yang dian shi tai 
两部	liang bu 
粮于技	liang yu ji 
洮南市	tao nan shi 
第二年	di er nian 
梁河县	liang he xian 
后部	hou bu 
为单	wei dan 
最优化	zui you hua 
热水	re shui 
农村居民	nong cun ju min 
北川	bei chuan 
武平县	wu ping xian 
别克	bie ke 
无公害	wu gong hai 
棉田	mian tian 
住宅建设	zhu zhai jian she 
患有	huan you 
个人财产	ge ren cai chan 
乌布力	wu bu li 
琼中黎族苗族自治县	qiong zhong li zu miao zu zi zhi xian 
鸿沟	hong gou 
制备	zhi bei 
作业管理	zuo ye guan li 
保护伞	bao hu san 
市场推广	shi chang tui guang 
红庙	hong miao 
文明办	wen ming ban 
类乌齐县	lei wu qi xian 
把准	ba zhun 
皮拉	pi la 
数字电视	shu zi dian shi 
绥德县	sui de xian 
申报表	shen bao biao 
两免	liang mian 
配药	pei yao 
札达县	zha da xian 
丙级	bing ji 
中共四川省委	zhong gong si chuan sheng wei 
锦绣	jin xiu 
北部湾	bei bu wan 
效益性	xiao yi xing 
民众	min zhong 
双鸭山市	shuang ya shan shi 
围网	wei wang 
逐个	zhu ge 
大中小学	da zhong xiao xue 
青原区	qing yuan qu 
拟出	ni chu 
涡阳县	wo yang xian 
日趋	ri qu 
接得	jie de 
西湖	xi hu 
服务团	fu wu tuan 
示范点	shi fan dian 
党代表	dang dai biao 
减轻负担	jian qing fu dan 
九龙坡区	jiu long po qu 
演艺	yan yi 
建局	jian ju 
陆河县	lu he xian 
刑警支队	xing jing zhi dui 
复线	fu xian 
安乡	an xiang 
植树	zhi shu 
行得通	xing de tong 
教育法	jiao yu fa 
老有所为	lao you suo wei 
餐厅	can ting 
递补	di bu 
田镇	tian zhen 
两用	liang yong 
自证	zi zheng 
农畜产品	nong chu chan pin 
新余市	xin yu shi 
由非	you fei 
选树	xuan shu 
余江	yu jiang 
三十	san shi 
支柱性	zhi zhu xing 
问责制	wen ze zhi 
花村	hua cun 
本底	ben di 
梦中	meng zhong 
中草药材	zhong cao yao cai 
原著	yuan zhu 
装机	zhuang ji 
度假	du jia 
管理区	guan li qu 
蒲江县	pu jiang xian 
强力	qiang li 
检查程序	jian cha cheng xu 
奋进	fen jin 
统揽	tong lan 
亚太经济合作组织	ya tai jing ji he zuo zu zhi 
三村	san cun 
跟踪调查	gen zong diao cha 
粮款	liang kuan 
排行榜	pai hang bang 
监督站	jian du zhan 
应立即	ying li ji 
肥东县	fei dong xian 
一细	yi xi 
港湾	gang wan 
湖西	hu xi 
民间文学	min jian wen xue 
反假	fan jia 
位居	wei ju 
洛阳镇	luo yang zhen 
城北区	cheng bei qu 
人身权利	ren shen quan li 
当事	dang shi 
景宁畲族自治县	jing ning she zu zi zhi xian 
吉隆县	ji long xian 
新宾满族自治县	xin bin man zu zi zhi xian 
此项工作	ci xiang gong zuo 
科普知识	ke pu zhi shi 
焕发	huan fa 
多吉	duo ji 
托育点	tuo yu dian 
五中	wu zhong 
真善美	zhen shan mei 
东风汽车	dong feng qi che 
商业街	shang ye jie 
特拉	te la 
西向	xi xiang 
虚列	xu lie 
澜沧拉祜族自治县	lan cang la hu zu zi zhi xian 
出租人	chu zu ren 
通许县	tong xu xian 
玉山县	yu shan xian 
国家烟草	guo jia yan cao 
潼关县	tong guan xian 
研制者	yan zhi zhe 
局商	ju shang 
哄抢	hong qiang 
辅以	fu yi 
银税	yin shui 
驻市	zhu shi 
损伤	sun shang 
宗族势力	zong zu shi li 
留成	liu cheng 
入网	ru wang 
五险	wu xian 
宕昌县	dang chang xian 
合作伙伴	he zuo huo ban 
求策	qiu ce 
购房	gou fang 
搬运	ban yun 
蓄电池	xu dian chi 
运输枢纽	yun shu shu niu 
石河子大学	shi he zi da xue 
之机	zhi ji 
疑义	yi yi 
需报	xu bao 
委任	wei ren 
澳门特别行政区政府	ao men te bie xing zheng qu zheng fu 
土耳其	tu er qi 
调任	diao ren 
树种	shu zhong 
生活用品	sheng huo yong pin 
茌平	chi ping 
风格	feng ge 
西北农林科技大学	xi bei nong lin ke ji da xue 
网及	wang ji 
松江区	song jiang qu 
乐于	le yu 
资深	zi shen 
义乌市	yi wu shi 
包干制	bao gan zhi 
武功	wu gong 
新世纪	xin shi ji 
客机	ke ji 
前提条件	qian ti tiao jian 
三十天	san shi tian 
水寨	shui zhai 
倍增	bei zeng 
指为	zhi wei 
塘坝	tang ba 
倾倒垃圾	qing dao la ji 
二枚	er mei 
海岸线	hai an xian 
获批	huo pi 
耗费	hao fei 
依宪	yi xian 
空闲	kong xian 
公益广告	gong yi guang gao 
副检察长	fu jian cha zhang 
盲文	mang wen 
淫秽物品	yin hui wu pin 
勇于探索	yong yu tan suo 
黑色	hei se 
塑料	su liao 
模拟	mo ni 
领馆	ling guan 
旅顺	lv shun 
团风县	tuan feng xian 
翁杰明	weng jie ming 
配载	pei zai 
战斗性	zhan dou xing 
苯胺	ben an 
居住区	ju zhu qu 
科教卫	ke jiao wei 
机械式	ji xie shi 
出国访问	chu guo fang wen 
简便易行	jian bian yi xing 
药效	yao xiao 
华融	hua rong 
相信	xiang xin 
详查	xiang cha 
防伪	fang wei 
督导组	du dao zu 
三亿人	san yi ren 
奉化	feng hua 
澄江	cheng jiang 
核证	he zheng 
宜兴市	yi xing shi 
洋山	yang shan 
并轨	bing gui 
预付卡	yu fu ka 
避免出现	bi mian chu xian 
专务	zhuan wu 
舒安街	shu an jie 
鼓楼	gu lou 
宝塔	bao ta 
植入	zhi ru 
市卡若区	shi ka ruo qu 
截止	jie zhi 
加工水平	jia gong shui ping 
维护费用	wei hu fei yong 
行政化	xing zheng hua 
鼓楼区	gu lou qu 
通信业	tong xin ye 
连州市	lian zhou shi 
渗井	shen jing 
三一	san yi 
北屯	bei tun 
字符	zi fu 
投资区	tou zi qu 
一哄而上	yi hong er shang 
山坪村	shan ping cun 
引河	yin he 
新途径	xin tu jing 
古城镇	gu cheng zhen 
清明	qing ming 
红日	hong ri 
地表	di biao 
回稳	hui wen 
汽车集团	qi che ji tuan 
控制点	kong zhi dian 
大集	da ji 
广东省政府	guang dong sheng zheng fu 
臭氧层	chou yang ceng 
武冈市	wu gang shi 
杠坝村	gang ba cun 
杜家庄	du jia zhuang 
刑侦	xing zhen 
柳林	liu lin 
排序	pai xu 
学士学位	xue shi xue wei 
中毒	zhong du 
任务量	ren wu liang 
有意	you yi 
外包装	wai bao zhuang 
地税	di shui 
描述	miao shu 
力所能及	li suo neng ji 
贸易谈判	mao yi tan pan 
体育精神	ti yu jing shen 
银企合作	yin qi he zuo 
郑州大学	zheng zhou da xue 
相通	xiang tong 
芳草	fang cao 
养殖户	yang zhi hu 
展销	zhan xiao 
丹江口	dan jiang kou 
精炼	jing lian 
收购价格	shou gou jia ge 
流水	liu shui 
东西湖区	dong xi hu qu 
最严	zui yan 
京哈	jing ha 
科学素养	ke xue su yang 
市称	shi cheng 
卓尼县	zhuo ni xian 
高崎	gao qi 
上海东方	shang hai dong fang 
卡点	ka dian 
财经大学	cai jing da xue 
衡阳县	heng yang xian 
因企制宜	yin qi zhi yi 
合同文本	he tong wen ben 
代建	dai jian 
医政医	yi zheng yi 
群众满意	qun zhong man yi 
马厂	ma chang 
月度	yue du 
接触式	jie chu shi 
会费	hui fei 
杨树	yang shu 
祥云县	xiang yun xian 
周玉书	zhou yu shu 
长垣	zhang yuan 
课标	ke biao 
大理	da li 
碘缺乏病	dian que fa bing 
矿藏	kuang cang 
崇礼	chong li 
补训	bu xun 
下基层	xia ji ceng 
材质	cai zhi 
波罗	bo luo 
丧葬	sang zang 
枣阳市	zao yang shi 
打基础	da ji chu 
自防	zi fang 
起好步	qi hao bu 
帆船	fan chuan 
油漆	you qi 
纵队	zong dui 
放流	fang liu 
被单	bei dan 
现金流	xian jin liu 
肛肠	gang chang 
通力协作	tong li xie zuo 
候补	hou bu 
群控	qun kong 
建龙	jian long 
学情	xue qing 
丰泽	feng ze 
哈密	ha mi 
全面规划	quan mian gui hua 
自豪感	zi hao gan 
五指山市	wu zhi shan shi 
依证	yi zheng 
河北农业大学	he bei nong ye da xue 
产品名称	chan pin ming cheng 
荣誉性	rong yu xing 
乐业县	le ye xian 
建立联系	jian li lian xi 
世界反法西斯战争	shi jie fan fa xi si zhan zheng 
崇义县	chong yi xian 
苏浙皖	su zhe wan 
便民利民	bian min li min 
康县	kang xian 
和林格尔县	he lin ge er xian 
一招	yi zhao 
直接参与	zhi jie can yu 
抗御	kang yu 
表及	biao ji 
半成品	ban cheng pin 
救药	jiu yao 
合成树脂	he cheng shu zhi 
永泰县	yong tai xian 
文学院	wen xue yuan 
区域环境	qu yu huan jing 
太阳	tai yang 
专门从事	zhuan men cong shi 
中央党史研究室	zhong yang dang shi yan jiu shi 
西川	xi chuan 
普天	pu tian 
电池	dian chi 
大海	da hai 
六三	liu san 
三实	san shi 
企业债	qi ye zhai 
重要途径	zhong yao tu jing 
缴足	jiao zu 
山底	shan di 
工区	gong qu 
华中	hua zhong 
金牛	jin niu 
日常化	ri chang hua 
七里	qi li 
付出	fu chu 
存续	cun xu 
语言文字工作委员会	yu yan wen zi gong zuo wei yuan hui 
整体效益	zheng ti xiao yi 
公共事业	gong gong shi ye 
雷山县	lei shan xian 
反垄断法	fan long duan fa 
行贿	xing hui 
余姚市	yu yao shi 
适用性	shi yong xing 
追究制	zhui jiu zhi 
见义勇为	jian yi yong wei 
利州	li zhou 
固始县	gu shi xian 
南市	nan shi 
直供	zhi gong 
发村	fa cun 
洱源县	er yuan xian 
差别待遇	cha bie dai yu 
甲酯	jia zhi 
公正处理	gong zheng chu li 
泸西县	lu xi xian 
国运	guo yun 
可控性	ke kong xing 
两手抓	liang shou zhua 
光荣传统	guang rong chuan tong 
壶关县	hu guan xian 
镇区	zhen qu 
第三卷	di san juan 
安岳县	an yue xian 
迎来	ying lai 
会计信息	kuai ji xin xi 
之声	zhi sheng 
产品品质	chan pin pin zhi 
商标法	shang biao fa 
离开	li kai 
李小鹏	li xiao peng 
空白	kong bai 
松弛	song chi 
段长	duan zhang 
育种	yu zhong 
富集	fu ji 
过渡性	guo du xing 
节电	jie dian 
开发式	kai fa shi 
落实政策	luo shi zheng ce 
钟山县	zhong shan xian 
向善	xiang shan 
模范城	mo fan cheng 
单一化	dan yi hua 
岛礁	dao jiao 
部为	bu wei 
话语权	hua yu quan 
虐待	nve dai 
丹阳市	dan yang shi 
白区	bai qu 
节庆	jie qing 
中心小学	zhong xin xiao xue 
预检分诊	yu jian fen zhen 
学生用品	xue sheng yong pin 
车匪路霸	che fei lu ba 
墙体	qiang ti 
村民代表	cun min dai biao 
郝家桥	hao jia qiao 
甲基	jia ji 
健体	jian ti 
弃权票	qi quan piao 
法制建设	fa zhi jian she 
水利枢纽	shui li shu niu 
教规	jiao gui 
三名	san ming 
失灵	shi ling 
观光	guan guang 
讲清	jiang qing 
惠水县	hui shui xian 
尽量减少	jin liang jian shao 
莲池	lian chi 
驻外使馆	zhu wai shi guan 
联合作战	lian he zuo zhan 
出入	chu ru 
名册	ming ce 
部是	bu shi 
板桥镇	ban qiao zhen 
独龙族	du long zu 
清仓查库	qing cang cha ku 
气力	qi li 
陵区	ling qu 
分厂	fen chang 
双边协定	shuang bian xie ding 
留解	liu jie 
失管	shi guan 
国税	guo shui 
五五	wu wu 
阳逻	yang luo 
牌坊	pai fang 
购票	gou piao 
灵感	ling gan 
临夏州	lin xia zhou 
附有	fu you 
南河村	nan he cun 
尊重群众	zun zhong qun zhong 
司前	si qian 
逮捕	dai bu 
重要文献	zhong yao wen xian 
西环路	xi huan lu 
邮电	you dian 
精神力量	jing shen li liang 
核桃	he tao 
劳动法	lao dong fa 
小溪	xiao xi 
三五	san wu 
八路军	ba lu jun 
辩护人	bian hu ren 
三代	san dai 
溪龙乡	xi long xiang 
徐州	xu zhou 
警种	jing zhong 
铁道	tie dao 
莘庄	xin zhuang 
充分行使	chong fen xing shi 
大唐	da tang 
辨识	bian shi 
比特	bi te 
必进	bi jin 
政企分开	zheng qi fen kai 
可兑换	ke dui huan 
照明	zhao ming 
谦虚谨慎	qian xu jin shen 
湘雅	xiang ya 
价值观念	jia zhi guan nian 
新沂	xin yi 
一大	yi da 
游艺	you yi 
实收	shi shou 
平山县	ping shan xian 
镇村	zhen cun 
重大过失	zhong da guo shi 
特殊性	te shu xing 
床位数	chuang wei shu 
难易	nan yi 
会见	hui jian 
公平合理	gong ping he li 
先照	xian zhao 
集村	ji cun 
重复性	chong fu xing 
敛财	lian cai 
初期	chu qi 
三岔河	san cha he 
相济	xiang ji 
补贴费	bu tie fei 
余干县	yu gan xian 
公海	gong hai 
三合一	san he yi 
每一项	mei yi xiang 
安放	an fang 
两处	liang chu 
留足	liu zu 
真话	zhen hua 
于本	yu ben 
范本	fan ben 
一企一策	yi qi yi ce 
喂猪	wei zhu 
国地	guo di 
降雪	jiang xue 
十五级	shi wu ji 
新人	xin ren 
义勒	yi lei 
戈壁	ge bi 
施救	shi jiu 
关键时期	guan jian shi qi 
到位率	dao wei lv 
严寨村	yan zhai cun 
八宿县	ba su xian 
知名人士	zhi ming ren shi 
拉祜	la hu 
婺源县	wu yuan xian 
四号	si hao 
拆旧	chai jiu 
镇德胜村	zhen de sheng cun 
诬告	wu gao 
快速通道	kuai su tong dao 
镇乡	zhen xiang 
空转	kong zhuan 
消灭	xiao mie 
连南瑶族自治县	lian nan yao zu zi zhi xian 
即日起	ji ri qi 
第五十三条	di wu shi san tiao 
巨野县	ju ye xian 
涵义	han yi 
打分	da fen 
职业联赛	zhi ye lian sai 
鲁花	lu hua 
病亡	bing wang 
云南省迪庆藏族自治州	yun nan sheng di qing zang zu zi zhi zhou 
郁南县	yu nan xian 
京山市	jing shan shi 
群防	qun fang 
仁寿县	ren shou xian 
利于	li yu 
国门	guo men 
温泉县	wen quan xian 
柳梧	liu wu 
会同县	hui tong xian 
自立	zi li 
制等	zhi deng 
李晓超	li xiao chao 
手语	shou yu 
中信公司	zhong xin gong si 
骗税	pian shui 
派员参加	pai yuan can jia 
内为	nei wei 
大峡谷	da xia gu 
防腐	fang fu 
大安	da an 
紧抓	jin zhua 
老达保	lao da bao 
骨灰	gu hui 
金马	jin ma 
另设	ling she 
车间主任	che jian zhu ren 
港澳台侨	gang ao tai qiao 
邮箱	you xiang 
风湿	feng shi 
副产	fu chan 
民主专政	min zhu zhuan zheng 
丹江	dan jiang 
外滩	wai tan 
设有	she you 
价格上涨	jia ge shang zhang 
法律化	fa lv hua 
观音	guan yin 
西平县	xi ping xian 
封路	feng lu 
改编	gai bian 
合作方	he zuo fang 
贡山	gong shan 
民族宗教	min zu zong jiao 
金水河	jin shui he 
总产值	zong chan zhi 
人应	ren ying 
疑难病症	yi nan bing zheng 
典型示范	dian xing shi fan 
克拉玛依市	ke la ma yi shi 
销售量	xiao shou liang 
业内	ye nei 
抵减	di jian 
向重	xiang zhong 
邕宁	yong ning 
分部	fen bu 
金星	jin xing 
总行	zong xing 
犯错误	fan cuo wu 
神经管	shen jing guan 
祝贺	zhu he 
华龙	hua long 
双减	shuang jian 
打听	da ting 
叶坪	ye ping 
漳州	zhang zhou 
求是	qiu shi 
红军	hong jun 
妇科	fu ke 
敷设	fu she 
港法	gang fa 
高校教师	gao xiao jiao shi 
产钢	chan gang 
贸易商	mao yi shang 
版图	ban tu 
资阳市	zi yang shi 
亲切	qin qie 
建成区	jian cheng qu 
调查局	diao cha ju 
八一	ba yi 
汉中	han zhong 
安阳	an yang 
处突	chu tu 
沂南县	yi nan xian 
全体成员	quan ti cheng yuan 
控制能力	kong zhi neng li 
贺州	he zhou 
养羊	yang yang 
市场份额	shi chang fen e 
图像识别	tu xiang shi bie 
伊春	yi chun 
石城县	shi cheng xian 
黔南布依族苗族自治州	qian nan bu yi zu miao zu zi zhi zhou 
设党	she dang 
图像	tu xiang 
贸易规模	mao yi gui mo 
五华区	wu hua qu 
生产国	sheng chan guo 
合江县	he jiang xian 
临夏市	lin xia shi 
仙居县	xian ju xian 
优良品种	you liang pin zhong 
玉泉	yu quan 
乡镇企业	xiang zhen qi ye 
家畜	jia chu 
空天	kong tian 
督导员	du dao yuan 
民用飞机	min yong fei ji 
云南省公安厅	yun nan sheng gong an ting 
业务管理	ye wu guan li 
固城	gu cheng 
非市场	fei shi chang 
新闻频道	xin wen pin dao 
派人参加	pai ren shen jia 
涉渔	she yu 
代评	dai ping 
地标	di biao 
五莲县	wu lian xian 
竞字	jing zi 
林带	lin dai 
康龙	kang long 
长途	chang tu 
近似	jin si 
外汇收入	wai hui shou ru 
赠与	zeng yu 
游行	you xing 
对外贸易经济合作部	dui wai mao yi jing ji he zuo bu 
附注	fu zhu 
留得	liu de 
皮张	pi zhang 
能源网	neng yuan wang 
严格要求	yan ge yao qiu 
介绍所	jie shao suo 
庞公	pang gong 
索引	suo yin 
固本	gu ben 
高尔夫球场	gao er fu qiu chang 
制造厂	zhi zao chang 
社会关系	she hui guan xi 
便于管理	bian yu guan li 
敌视	di shi 
中化	zhong hua 
纳入计划	na ru ji hua 
契约	qi yue 
分诊	fen zhen 
一金	yi jin 
地段	di duan 
国家体育总局	guo jia ti yu zong ju 
广大群众	guang da qun zhong 
头屯河区	tou tun he qu 
大黑河	da hei he 
糖业	tang ye 
山东省委	shan dong sheng wei 
文化馆	wen hua guan 
燃气轮机	ran qi lun ji 
旌阳区	jing yang qu 
破损	po sun 
独山县	du shan xian 
奖代补	jiang dai bu 
自律意识	zi lv yi shi 
内源性	nei yuan xing 
金库	jin ku 
浏览	liu lan 
警戒线	jing jie xian 
休耕	xiu geng 
马路	ma lu 
沟乡	gou xiang 
兴趣	xing qu 
乡合寨	xiang he zhai 
边整边改	bian zheng bian gai 
海关人员	hai guan ren yuan 
伟大工程	wei da gong cheng 
恢复原状	hui fu yuan zhuang 
所述	suo shu 
候诊	hou zhen 
拉拢	la long 
回用件	hui yong jian 
利济巷	li ji xiang 
通信局	tong xin ju 
一队	yi dui 
前须	qian xu 
向小微	xiang xiao wei 
脱产	tuo chan 
大河	da he 
青山区	qing shan qu 
保驾护航	bao jia hu hang 
审价	shen jia 
大渡	da du 
安徽省公安厅	an hui sheng gong an ting 
交货	jiao huo 
信息港	xin xi gang 
厚爱	hou ai 
泌阳县	bi yang xian 
登封市	deng feng shi 
威信	wei xin 
程家	cheng jia 
基点	ji dian 
观看	guan kan 
后牌	hou pai 
意向	yi xiang 
通话	tong hua 
孤岛	gu dao 
血液科	xue ye ke 
黄南藏族自治州	huang nan zang zu zi zhi zhou 
图尔	tu er 
非粮化	fei liang hua 
机械部	ji xie bu 
山西省政府	shan xi sheng zheng fu 
任意	ren yi 
卫生室	wei sheng shi 
秀山土家族苗族自治县	xiu shan tu jia zu miao zu zi zhi xian 
执飞	zhi fei 
调防	diao fang 
兰州大学	lan zhou da xue 
水村	shui cun 
垃圾处置	la ji chu zhi 
建阳	jian yang 
港城	gang cheng 
弊端	bi duan 
质监	zhi jian 
农村党员	nong cun dang yuan 
寻甸回族彝族自治县	xun dian hui zu yi zu zi zhi xian 
组原	zu yuan 
引诱	yin you 
三州	san zhou 
尽可能减少	jin ke neng jian shao 
为首者	wei shou zhe 
两用品	liang yong pin 
推卸责任	tui xie ze ren 
县中	xian zhong 
新邵县	xin shao xian 
网上网	wang shang wang 
农业用地	nong ye yong di 
松山湖	song shan hu 
班玛县	ban ma xian 
大安市	da an shi 
大姚县	da yao xian 
报到证	bao dao zheng 
病床	bing chuang 
洪湖市	hong hu shi 
指令性	zhi ling xing 
黄寨	huang zhai 
镇龙	zhen long 
新上	xin shang 
百分比	bai fen bi 
频发	pin fa 
干部带头	gan bu dai tou 
叶城县	ye cheng xian 
税基	shui ji 
或少	huo shao 
培养人才	pei yang ren cai 
精神病人	jing shen bing ren 
该条	gai tiao 
地理位置	di li wei zhi 
邯郸	han dan 
瑞景	rui jing 
使命感	shi ming gan 
短少	duan shao 
宜川县	yi chuan xian 
镇坪	zhen ping 
娄烦县	lou fan xian 
户籍管理	hu ji guan li 
甘洛县	gan luo xian 
整形科	zheng xing ke 
高管	gao guan 
如遇	ru yu 
外贸公司	wai mao gong si 
致公党	zhi gong dang 
严重事故	yan zhong shi gu 
低丘	di qiu 
换发	huan fa 
肝病	gan bing 
医学院校	yi xue yuan xiao 
利益驱动	li yi qu dong 
假药	jia yao 
零配件	ling pei jian 
主力	zhu li 
事例	shi li 
传帮带	chuan bang dai 
自来水	zi lai shui 
内一	nei yi 
上杭县	shang hang xian 
党政军民	dang zheng jun min 
日照	ri zhao 
初级阶段	chu ji jie duan 
上限	shang xian 
甘藏春	gan cang chun 
赫山区	he shan qu 
源城区	yuan cheng qu 
核岛	he dao 
冲村	chong cun 
算法	suan fa 
洪江市	hong jiang shi 
李村	li cun 
文化部门	wen hua bu men 
置换术	zhi huan shu 
新路	xin lu 
从实	cong shi 
新街口	xin jie kou 
承运	cheng yun 
奖项	jiang xiang 
肖亚庆	xiao ya qing 
贸易国	mao yi guo 
降尘	jiang chen 
印度洋	yin du yang 
机智	ji zhi 
杨浦	yang pu 
体育中心	ti yu zhong xin 
商州区	shang zhou qu 
经省	jing sheng 
侦破	zhen po 
知识型	zhi shi xing 
大通回族土族自治县	da tong hui zu tu zu zi zhi xian 
童工	tong gong 
石阡县	shi qian xian 
指导方针	zhi dao fang zhen 
转租	zhuan zu 
兴华	xing hua 
解缴	jie jiao 
收受贿赂	shou shou hui lu 
洋县	yang xian 
视察工作	shi cha gong zuo 
人头	ren tou 
户口簿	hu kou bu 
屏边苗族自治县	ping bian miao zu zi zhi xian 
抢修班	qiang xiu ban 
铜鼓	tong gu 
加速器	jia su qi 
电视总局	dian shi zong ju 
带有	dai you 
洛南县	luo nan xian 
确山县	que shan xian 
农历	nong li 
街村	jie cun 
永和县	yong he xian 
以往	yi wang 
水源地	shui yuan di 
民间组织	min jian zu zhi 
同案	tong an 
天镇县	tian zhen xian 
路权	lu quan 
扛起	kang qi 
中国消费者协会	zhong guo xiao fei zhe xie hui 
煤代油	mei dai you 
牛场	niu chang 
初核	chu he 
农事	nong shi 
滕头村	teng tou cun 
卓尔	zhuo er 
中概	zhong gai 
屯镇	tun zhen 
犁头	li tou 
湘乡市	xiang xiang shi 
白银区	bai yin qu 
固体废弃物	gu ti fei qi wu 
双循环	shuang xun huan 
福康	fu kang 
湘东区	xiang dong qu 
恐吓	kong he 
皮山	pi shan 
剧院	ju yuan 
支援灾区	zhi yuan zai qu 
聚众	ju zhong 
减去	jian qu 
起身	qi shen 
鄂东	e dong 
原研药	yuan yan yao 
刀刃	dao ren 
保水	bao shui 
植物园	zhi wu yuan 
疼痛	teng tong 
息县	xi xian 
