各省	ge sheng 
短期	duan qi 
频次	pin ci 
水利部	shui li bu 
发明专利	fa ming zhuan li 
安全感	an quan gan 
省域	sheng yu 
亿吨	yi dun 
殡仪馆	bin yi guan 
分红	fen hong 
情况紧急	qing kuang jin ji 
产品目录	chan pin mu lu 
孝昌县	xiao chang xian 
总量	zong liang 
筹措	chou cuo 
专班	zhuan ban 
事实清楚	shi shi qing chu 
中华文明	zhong hua wen ming 
会议	hui yi 
暂存	zan cun 
设区	she qu 
任期	ren qi 
全国社会保障基金理事会	quan guo she hui bao zhang ji jin li shi hui 
利润分配	li run fen pei 
施工	shi gong 
中国石油天然气集团	zhong guo shi you tian ran qi ji tuan 
示范性	shi fan xing 
长江三峡	chang jiang san xia 
钉钉子	ding ding zi 
视情	shi qing 
监测数据	jian ce shu ju 
衔接	xian jie 
报酬	bao chou 
应用领域	ying yong ling yu 
托管人	tuo guan ren 
服务中心	fu wu zhong xin 
村规民约	cun gui min yue 
海事	hai shi 
纪要	ji yao 
商业模式	shang ye mo shi 
人人有责	ren ren you ze 
放权	fang quan 
理事会	li shi hui 
专门	zhuan men 
进场	jin chang 
供给	gong ji 
理政	li zheng 
指挥长	zhi hui zhang 
业务主管	ye wu zhu guan 
之名行	zhi ming xing 
落地	luo di 
案情	an qing 
侨务工作	qiao wu gong zuo 
情况	qing kuang 
气候	qi hou 
接触者	jie chu zhe 
重复建设	chong fu jian she 
不变	bu bian 
科员	ke yuan 
视野	shi ye 
做实	zuo shi 
减至	jian zhi 
服务局	fu wu ju 
之实	zhi shi 
载人	zai ren 
思想动态	si xiang dong tai 
报名	bao ming 
崇左	chong zuo 
凤凰县	feng huang xian 
共创	gong chuang 
女子	nv zi 
预算内	yu suan nei 
湘政	xiang zheng 
境内外	jing nei wai 
技术含量	ji shu han liang 
巴州区	ba zhou qu 
先建	xian jian 
转送	zhuan song 
放宽	fang kuan 
具体指导	ju ti zhi dao 
发展部	fa zhan bu 
巴中市	ba zhong shi 
新化县	xin hua xian 
人次	ren ci 
接续	jie xu 
资发	zi fa 
中央军委后勤保障部卫生局	zhong yang jun wei hou qin bao zhang bu wei sheng ju 
商业秘密	shang ye mi mi 
重建	chong jian 
对照	dui zhao 
一案	yi an 
油运	you yun 
突出重点	tu chu zhong dian 
工种	gong zhong 
以管	yi guan 
看守所	kan shou suo 
条文	tiao wen 
搞好	gao hao 
科学规范	ke xue gui fan 
添加剂	tian jia ji 
审定	shen ding 
各级党委	ge ji dang wei 
就学	jiu xue 
治党	zhi dang 
黎川县	li chuan xian 
扣分	kou fen 
精算	jing suan 
全局性	quan ju xing 
核查组	he cha zu 
铜川市	tong chuan shi 
单制	dan zhi 
急救	ji jiu 
交流平台	jiao liu ping tai 
权限	quan xian 
暗示	an shi 
监控	jian kong 
锻炼	duan lian 
侨务	qiao wu 
坚定信心	jian ding xin xin 
专兼职	zhuan jian zhi 
海河	hai he 
抓住	zhua zhu 
用于	yong yu 
未经许可	wei jing xu ke 
营业执照	ying ye zhi zhao 
安全性	an quan xing 
一二三	yi er san 
主食	zhu shi 
商业	shang ye 
资源	zi yuan 
流入地	liu ru di 
机动车辆	ji dong che liang 
务会	wu hui 
光明	guang ming 
高安市	gao an shi 
左右	zuo you 
期数	qi shu 
防汛	fang xun 
保理	bao li 
不必要	bu bi yao 
忠实	zhong shi 
战场	zhan chang 
税务局	shui wu ju 
市场经济	shi chang jing ji 
原有	yuan you 
无原则	wu yuan ze 
产业园	chan ye yuan 
补缴	bu jiao 
技术标准	ji shu biao zhun 
产城	chan cheng 
调解员	tiao jie yuan 
设在	she zai 
附近	fu jin 
心血管	xin xue guan 
备而	bei er 
北京市	bei jing shi 
档次	dang ci 
黑名单	hei ming dan 
对外贸易	dui wai mao yi 
枞阳县	zong yang xian 
互补	hu bu 
五位一体	wu wei yi ti 
肥西县	fei xi xian 
石楼县	shi lou xian 
发展改革委	fa zhan gai ge wei 
作出评价	zuo chu ping jia 
记者	ji zhe 
第十三条	di shi san tiao 
自治州	zi zhi zhou 
单一	dan yi 
协作	xie zuo 
期货交易	qi huo jiao yi 
北方	bei fang 
美德	mei de 
纳雍县	na yong xian 
收入额	shou ru e 
不良	bu liang 
希望	xi wang 
全国人民代表大会	quan guo ren min dai biao da hui 
优生	you sheng 
中央宣传部	zhong yang xuan chuan bu 
规模化	gui mo hua 
赣南	gan nan 
指导思想	zhi dao si xiang 
仍然	reng ran 
汕尾市	shan wei shi 
研究部	yan jiu bu 
榆林	yu lin 
适龄	shi ling 
地方志	di fang zhi 
碎片	sui pian 
图书馆	tu shu guan 
成渝	cheng yu 
防御区	fang yu qu 
变相	bian xiang 
国家矿山安全监察局	guo jia kuang shan an quan jian cha ju 
场景	chang jing 
商检	shang jian 
省区	sheng qu 
细则	xi ze 
山地	shan di 
委核报	wei he bao 
坚决	jian jue 
进口关税	jin kou guan shui 
法规	fa gui 
道路	dao lu 
医疗卫生	yi liao wei sheng 
海洋渔业	hai yang yu ye 
自主权	zi zhu quan 
上校	shang xiao 
及性	ji xing 
多头管理	duo tou guan li 
骗保	pian bao 
联系方式	lian xi fang shi 
有奖	you jiang 
内分泌科	nei fen mi ke 
策略	ce lve 
调取	diao qu 
实践	shi jian 
集约	ji yue 
重点保护	zhong dian bao hu 
嘉黎县	jia li xian 
并于	bing yu 
免除	mian chu 
黑龙江省	hei long jiang sheng 
关闭	guan bi 
创办人	chuang ban ren 
副局长	fu ju zhang 
教工	jiao gong 
语言	yu yan 
山乡	shan xiang 
招聘会	zhao pin hui 
本国	ben guo 
认知	ren zhi 
技术规范	ji shu gui fan 
查找	cha zhao 
中心组	zhong xin zu 
保靖县	bao jing xian 
加强监督	jia qiang jian du 
完全	wan quan 
国际经贸	guo ji jing mao 
弹性	tan xing 
切入点	qie ru dian 
合力	he li 
权属	quan shu 
卢氏县	lu shi xian 
阶段	jie duan 
软件产业	ruan jian chan ye 
单元	dan yuan 
福州	fu zhou 
写明	xie ming 
验收报告	yan shou bao gao 
条数	tiao shu 
创建活动	chuang jian huo dong 
做法	zuo fa 
骨干	gu gan 
服务质量	fu wu zhi liang 
加油站	jia you zhan 
民族特色	min zu te se 
第二批	di er pi 
广大	guang da 
专业技术	zhuan ye ji shu 
道路交通	dao lu jiao tong 
复查	fu cha 
蓟州	ji zhou 
挂号	gua hao 
最长	zui zhang 
窦店	dou dian 
福清	fu qing 
房屋	fang wu 
水河	shui he 
篡改	cuan gai 
征地	zheng di 
泡田	pao tian 
示范园区	shi fan yuan qu 
人口数量	ren kou shu liang 
勤务	qin wu 
征用	zheng yong 
大事	da shi 
库区	ku qu 
托人	tuo ren 
董事	dong shi 
温州	wen zhou 
监事会	jian shi hui 
分管领导	fen guan ling dao 
社会舆论	she hui yu lun 
严谨	yan jin 
急诊医学科	ji zhen yi xue ke 
探索性	tan suo xing 
侗族	dong zu 
团委	tuan wei 
暴力	bao li 
程序	cheng xu 
用房	yong fang 
工资改革	gong zi gai ge 
规格	gui ge 
配套措施	pei tao cuo shi 
主渠道	zhu qu dao 
新理念	xin li nian 
星期六	xing qi liu 
乌什县	wu shen xian 
列支	lie zhi 
冷藏	leng cang 
民族团结	min zu tuan jie 
水泥	shui ni 
江岸区	jiang an qu 
哈尔滨市	ha er bin shi 
西宁市	xi ning shi 
新时代	xin shi dai 
各具	ge ju 
认真执行	ren zhen zhi xing 
财政收支	cai zheng shou zhi 
大力提高	da li ti gao 
肾内科	shen nei ke 
弄虚作假	nong xu zuo jia 
制品	zhi pin 
违反	wei fan 
党员	dang yuan 
申诉	shen su 
宣传报道	xuan chuan bao dao 
咨询中心	zi xun zhong xin 
货物	huo wu 
追授	zhui shou 
动产	dong chan 
陆生	lu sheng 
纳税	na shui 
水费	shui fei 
副组长	fu zu zhang 
所在地	suo zai di 
银行业	yin hang ye 
物价上涨	wu jia shang zhang 
龙镇	long zhen 
报本	bao ben 
三区	san qu 
威胁	wei xie 
江阴	jiang yin 
加分	jia fen 
不合时宜	bu he shi yi 
相互协作	xiang hu xie zuo 
管出	guan chu 
巩固	gong gu 
大兴安岭	da xing an ling 
被担保人	bei dan bao ren 
税负	shui fu 
国内	guo nei 
例外	li wai 
网格化	wang ge hua 
各自	ge zi 
困境	kun jing 
永兴	yong xing 
强令	qiang ling 
电站	dian zhan 
财政年度	cai zheng nian du 
收买	shou mai 
立改	li gai 
宁夏回族自治区	ning xia hui zu zi zhi qu 
开放市场	kai fang shi chang 
河村	he cun 
漏洞	lou dong 
优惠	you hui 
不敢	bu gan 
探矿权	tan kuang quan 
免受	mian shou 
外事办公室	wai shi ban gong shi 
济南市	ji nan shi 
征程	zheng cheng 
认证	ren zheng 
执行	zhi xing 
未作	wei zuo 
取消	qu xiao 
有偿	you chang 
公益性	gong yi xing 
透明	tou ming 
高速公路	gao su gong lu 
招用	zhao yong 
芜湖	wu hu 
石景山区	shi jing shan qu 
提起	ti qi 
失业保险金	shi ye bao xian jin 
牵头	qian tou 
过火	guo huo 
医改	yi gai 
活力	huo li 
空调	kong tiao 
大名县	da ming xian 
租房	zu fang 
光电	guang dian 
逻辑	luo ji 
使用	shi yong 
林木	lin mu 
不动产登记	bu dong chan deng ji 
为契机	wei qi ji 
传统美德	chuan tong mei de 
源头	yuan tou 
常驻	chang zhu 
新闻媒体	xin wen mei ti 
大力推广	da li tui guang 
梳理	shu li 
大冶	da ye 
求职	qiu zhi 
十级	shi ji 
节日	jie ri 
宽带接入	kuan dai jie ru 
合作社	he zuo she 
进村	jin cun 
半数	ban shu 
涉企	she qi 
河道	he dao 
分工负责	fen gong fu ze 
分裂	fen lie 
工作队	gong zuo dui 
设定	she ding 
中国保监会	zhong guo bao jian hui 
国家乡村振兴局	guo jia xiang cun zhen xing ju 
知悉	zhi xi 
备案	bei an 
支局	zhi ju 
丰城	feng cheng 
一扇门	yi shan men 
本地	ben di 
含不设	han bu she 
平潭	ping tan 
专用设备	zhuan yong she bei 
药剂科	yao ji ke 
相互	xiang hu 
区内	qu nei 
体制改革	ti zhi gai ge 
黄河	huang he 
犀牛	xi niu 
混合所有制	hun he suo you zhi 
指引	zhi yin 
会商	hui shang 
北京医院	bei jing yi yuan 
玉米	yu mi 
攻坚战	gong jian zhan 
批办	pi ban 
临洮县	lin tao xian 
失败	shi bai 
知名度	zhi ming du 
普定县	pu ding xian 
烈士	lie shi 
便利度	bian li du 
呼和浩特	hu he hao te 
立法权	li fa quan 
总成	zong cheng 
教育部门	jiao yu bu men 
会员	hui yuan 
供应	gong ying 
披露	pi lu 
剥离	bo li 
张村	zhang cun 
原因	yuan yin 
六中全会	liu zhong quan hui 
农业机械化	nong ye ji xie hua 
延安市	yan an shi 
环境质量	huan jing zhi liang 
采矿权	cai kuang quan 
巨额	ju e 
疾病	ji bing 
中华人民共和国预算法	zhong hua ren min gong he guo yu suan fa 
生理	sheng li 
文本	wen ben 
业绩	ye ji 
距离	ju li 
春节	chun jie 
大通关	da tong guan 
聚集	ju ji 
综合治理	zong he zhi li 
概算	gai suan 
奖提名	jiang ti ming 
申请	shen qing 
野生	ye sheng 
轮岗	lun gang 
上下	shang xia 
总预算	zong yu suan 
情报	qing bao 
滥用职权	lan yong zhi quan 
戏剧	xi ju 
减贫	jian pin 
句容市	ju rong shi 
商务部	shang wu bu 
研修班	yan xiu ban 
清正廉洁	qing zheng lian jie 
选举人	xuan ju ren 
节假日	jie jia ri 
近亲属	jin qin shu 
职工群众	zhi gong qun zhong 
酝酿	yun niang 
确有	que you 
把关	ba guan 
海关监管	hai guan jian guan 
明晰	ming xi 
区分	qu fen 
吸引	xi yin 
三个代表	san ge dai biao 
来访	lai fang 
分档	fen dang 
岫岩满族自治县	xiu yan man zu zi zhi xian 
红花岗区	hong hua gang qu 
轻工业部	qing gong ye bu 
调查	diao cha 
收回	shou hui 
黑恶势力	hei e shi li 
诚信教育	cheng xin jiao yu 
那曲	na qu 
公共交通	gong gong jiao tong 
低空	di kong 
职级	zhi ji 
可视	ke shi 
下半年	xia ban nian 
力求	li qiu 
先导	xian dao 
持证	chi zheng 
选人	xuan ren 
成本	cheng ben 
拉帮结派	la bang jie pai 
兴办	xing ban 
林长制	lin zhang zhi 
信息员	xin xi yuan 
鞍山市	an shan shi 
函询	han xun 
大力发展	da li fa zhan 
地域	di yu 
筛选	shai xuan 
新工艺	xin gong yi 
执委会	zhi wei hui 
体验	ti yan 
转诊	zhuan zhen 
裁员	cai yuan 
经济运行	jing ji yun xing 
有害	you hai 
第一步	di yi bu 
有本	you ben 
民政	min zheng 
下属单位	xia shu dan wei 
管好	guan hao 
成绩突出	cheng ji tu chu 
执行机构	zhi xing ji gou 
工作时间	gong zuo shi jian 
权威	quan wei 
分组	fen zu 
颠覆性	dian fu xing 
平均水平	ping jun shui ping 
扩容	kuo rong 
广度	guang du 
鲁甸	lu dian 
装备	zhuang bei 
桂林	gui lin 
学法	xue fa 
合肥市	he fei shi 
担任	dan ren 
商量	shang liang 
高检院	gao jian yuan 
茂名	mao ming 
彝族	yi zu 
无照经营	wu zhao jing ying 
文化交流	wen hua jiao liu 
保障性安居工程	bao zhang xing an ju gong cheng 
罚没	fa mei 
情节严重	qing jie yan zhong 
工作部门	gong zuo bu men 
出境	chu jing 
优质服务	you zhi fu wu 
水电站	shui dian zhan 
大气	da qi 
媒介	mei jie 
阿拉善右旗	a la shan you qi 
政委	zheng wei 
遵循	zun xun 
绍兴市	shao xing shi 
类产品	lei chan pin 
讲学	jiang xue 
年份	nian fen 
函告	han gao 
总裁	zong cai 
三峡工程	san xia gong cheng 
嘉奖	jia jiang 
中央办公厅	zhong yang ban gong ting 
拷贝	kao bei 
组织	zu zhi 
主席	zhu xi 
崇尚	chong shang 
削减	xue jian 
可靠	ke kao 
频道	pin dao 
违法必究	wei fa bi jiu 
拥政爱民	yong zheng ai min 
拨款	bo kuan 
两个	liang ge 
贮存	zhu cun 
程序化	cheng xu hua 
借款	jie kuan 
分批	fen pi 
凉山彝族自治州	liang shan yi zu zi zhi zhou 
水能	shui neng 
日至	ri zhi 
中西部地区	zhong xi bu di qu 
特大事故	te da shi gu 
转嫁给	zhuan jia gei 
管理人	guan li ren 
绥芬河	sui fen he 
内蒙古自治区人民政府	nei meng gu zi zhi qu ren min zheng fu 
航天员	hang tian yuan 
建功	jian gong 
总局	zong ju 
推送	tui song 
支付	zhi fu 
根基	gen ji 
一九八六年	yi jiu ba liu nian 
着装	zhuo zhuang 
霍邱县	huo qiu xian 
调查报告	diao cha bao gao 
水政	shui zheng 
经常性	jing chang xing 
林田	lin tian 
西安区	xi an qu 
尽力而为	jin li er wei 
指尖	zhi jian 
机器设备	ji qi she bei 
沈阳市	shen yang shi 
大厅	da ting 
至少	zhi shao 
后果严重	hou guo yan zhong 
健康检查	jian kang jian cha 
相邻	xiang lin 
巫山县	wu shan xian 
以外	yi wai 
编写	bian xie 
侦办	zhen ban 
商场	shang chang 
每千	mei qian 
师范	shi fan 
总体水平	zong ti shui ping 
固体	gu ti 
持股	chi gu 
销售	xiao shou 
投放	tou fang 
国企改革	guo qi gai ge 
高水平	gao shui ping 
生活水平	sheng huo shui ping 
治理整顿	zhi li zheng dun 
公民道德	gong min dao de 
重要依据	zhong yao yi ju 
民族乡	min zu xiang 
不忘初心	bu wang chu xin 
奖学金	jiang xue jin 
感染性疾病科	gan ran xing ji bing ke 
正确方向	zheng que fang xiang 
社保费	she bao fei 
较强	jiao qiang 
成熟	cheng shu 
质检	zhi jian 
交换意见	jiao huan yi jian 
制售	zhi shou 
迫切需要	po qie xu yao 
彰显	zhang xian 
营改增	ying gai zeng 
江苏省	jiang su sheng 
有害物质	you hai wu zhi 
海关	hai guan 
授权	shou quan 
传染科	chuan ran ke 
预决算	yu jue suan 
初创	chu chuang 
房产税	fang chan shui 
国土资源	guo tu zi yuan 
追认	zhui ren 
受托	shou tuo 
农艺师	nong yi shi 
地条钢	di tiao gang 
开放性	kai fang xing 
国家	guo jia 
潜江	qian jiang 
有期徒刑	you qi tu xing 
结核病	jie he bing 
工作经验	gong zuo jing yan 
太平洋	tai ping yang 
监测网	jian ce wang 
办事机构	ban shi ji gou 
外债	wai zhai 
总体布局	zong ti bu ju 
正义	zheng yi 
堡垒作用	bao lei zuo yong 
方针	fang zhen 
筹资	chou zi 
长效机制	zhang xiao ji zhi 
集体	ji ti 
第十五届	di shi wu jie 
经济结构	jing ji jie gou 
抚恤金	fu xu jin 
陪同	pei tong 
承包	cheng bao 
隆德县	long de xian 
占补	zhan bu 
国有资本	guo you zi ben 
外高桥	wai gao qiao 
科学普及	ke xue pu ji 
举证	ju zheng 
境外	jing wai 
更换	geng huan 
阻挠	zu nao 
马克思列宁主义	ma ke si lie ning zhu yi 
环湖	huan hu 
正确处理	zheng que chu li 
不设	bu she 
火灾事故	huo zai shi gu 
透明度	tou ming du 
家政	jia zheng 
会计师	kuai ji shi 
以省	yi sheng 
委员会	wei yuan hui 
无证无照	wu zheng wu zhao 
津贴	jin tie 
日期	ri qi 
考评	kao ping 
延误	yan wu 
企事业	qi shi ye 
农田水利	nong tian shui li 
警示	jing shi 
维稳	wei wen 
巴东县	ba dong xian 
养殖场	yang zhi chang 
跨境电商	kua jing dian shang 
农场	nong chang 
边境	bian jing 
将军	jiang jun 
宏观指导	hong guan zhi dao 
交易成本	jiao yi cheng ben 
欠薪	qian xin 
促进法	cu jin fa 
许可	xu ke 
模范	mo fan 
奠定	dian ding 
采集	cai ji 
垫江县	dian jiang xian 
圣农	sheng nong 
能源	neng yuan 
统战	tong zhan 
大赛	da sai 
习惯	xi guan 
古城	gu cheng 
万户	wan hu 
新能源	xin neng yuan 
报道	bao dao 
接轨	jie gui 
生态建设	sheng tai jian she 
咨询服务	zi xun fu wu 
经费支出	jing fei zhi chu 
三网	san wang 
唯一	wei yi 
寺观	si guan 
排列	pai lie 
国家网信办	guo jia wang xin ban 
淘汰	tao tai 
便利	bian li 
未获	wei huo 
表演	biao yan 
特种	te zhong 
净化	jing hua 
配置	pei zhi 
红安县	hong an xian 
国机	guo ji 
电子邮件	dian zi you jian 
激励机制	ji li ji zhi 
三峡	san xia 
分类	fen lei 
沿江	yan jiang 
潮州市	chao zhou shi 
临夏回族自治州	lin xia hui zu zi zhi zhou 
南方	nan fang 
外商独资	wai shang du zi 
控辍	kong chuo 
扩区	kuo qu 
中粮	zhong liang 
内外销	nei wai xiao 
江苏省委	jiang su sheng wei 
业务精	ye wu jing 
需氧量	xu yang liang 
联社	lian she 
区块链	qu kuai lian 
危险性	wei xian xing 
连云港市	lian yun gang shi 
总书记	zong shu ji 
妇幼保健	fu you bao jian 
太原	tai yuan 
禁用	jin yong 
支农	zhi nong 
深刻	shen ke 
石嘴山市	shi zui shan shi 
支持	zhi chi 
取缔	qu di 
土地利用	tu di li yong 
伤亡	shang wang 
台风	tai feng 
国发	guo fa 
溯源	su yuan 
创新型	chuang xin xing 
无偿	wu chang 
税收制度	shui shou zhi du 
技能	ji neng 
自治	zi zhi 
决策权	jue ce quan 
降低	jiang di 
风景区	feng jing qu 
立法法	li fa fa 
外地	wai di 
友好型	you hao xing 
出院	chu yuan 
凝聚力	ning ju li 
大学	da xue 
国办	guo ban 
能源安全	neng yuan an quan 
航运	hang yun 
安葬	an zang 
行政管理部门	xing zheng guan li bu men 
临夏县	lin xia xian 
使命	shi ming 
防病	fang bing 
处罚	chu fa 
瑞金市	rui jin shi 
离岗	li gang 
赛事	sai shi 
守住	shou zhu 
现场会	xian chang hui 
太河	tai he 
论证	lun zheng 
多种	duo zhong 
职责	zhi ze 
一地	yi di 
中华人民共和国政府	zhong hua ren min gong he guo zheng fu 
肯定	ken ding 
追求	zhui qiu 
阿拉善左旗	a la shan zuo qi 
行政机关	xing zheng ji guan 
教职人员	jiao zhi ren yuan 
威海市	wei hai shi 
拉萨	la sa 
奉贤区	feng xian qu 
发展	fa zhan 
线上	xian shang 
休闲	xiu xian 
住房价格	zhu fang jia ge 
不可	bu ke 
偏远	pian yuan 
歪曲事实	wai qu shi shi 
当天	dang tian 
储粮	chu liang 
任何	ren he 
从重	cong zhong 
体育运动	ti yu yun dong 
批示	pi shi 
账实	zhang shi 
十九大	shi jiu da 
高等职业	gao deng zhi ye 
初心	chu xin 
有力	you li 
乡镇政府	xiang zhen zheng fu 
民族	min zu 
贯彻落实	guan che luo shi 
思维	si wei 
综合司	zong he si 
直通车	zhi tong che 
平均	ping jun 
输电	shu dian 
长江流域	chang jiang liu yu 
服务台	fu wu tai 
区域合作	qu yu he zuo 
商品生产	shang pin sheng chan 
名额	ming e 
和龙市	he long shi 
行业龙头	hang ye long tou 
固定资产	gu ding zi chan 
非法手段	fei fa shou duan 
集约化	ji yue hua 
零关税	ling guan shui 
共和	gong he 
利用	li yong 
平衡	ping heng 
转贷	zhuan dai 
森林	sen lin 
涉税	she shui 
县处级	xian chu ji 
干涉	gan she 
坚定信念	jian ding xin nian 
引进来	yin jin lai 
绵阳	mian yang 
附加值	fu jia zhi 
低成本	di cheng ben 
一扶	yi fu 
奖金	jiang jin 
第一	di yi 
网格	wang ge 
运用	yun yong 
企业资质	qi ye zi zhi 
朴素	pu su 
水系	shui xi 
更大	geng da 
无效	wu xiao 
利通区	li tong qu 
种群	zhong qun 
落实工作	luo shi gong zuo 
投资规模	tou zi gui mo 
公共政策	gong gong zheng ce 
第三届	di san jie 
受过	shou guo 
参会	can hui 
病原学	bing yuan xue 
镇前	zhen qian 
口岸	kou an 
委托人	wei tuo ren 
另行	ling xing 
隐私	yin si 
章贡区	zhang gong qu 
住所地	zhu suo di 
上涨	shang zhang 
高等学校	gao deng xue xiao 
三权	san quan 
典范	dian fan 
驱逐出境	qu zhu chu jing 
采供血	cai gong xue 
来电	lai dian 
湛江	zhan jiang 
人事部门	ren shi bu men 
适时	shi shi 
签收	qian shou 
冀北	ji bei 
分管	fen guan 
构件	gou jian 
抚州市	fu zhou shi 
一网通	yi wang tong 
农户	nong hu 
追踪	zhui zong 
文化教育	wen hua jiao yu 
中试	zhong shi 
关区	guan qu 
总额	zong e 
现行政策	xian xing zheng ce 
义务人	yi wu ren 
转学	zhuan xue 
根据上述	gen ju shang shu 
旅客	lv ke 
轻重	qing zhong 
海上	hai shang 
赔偿制度	pei chang zhi du 
钢铁企业	gang tie qi ye 
沙尘暴	sha chen bao 
密集	mi ji 
中级	zhong ji 
神经外科	shen jing wai ke 
插手	cha shou 
游戏	you xi 
人才队伍	ren cai dui wu 
之风	zhi feng 
营口	ying kou 
竞赛	jing sai 
位于	wei yu 
军事	jun shi 
招商	zhao shang 
荒漠化	huang mo hua 
领域专家	ling yu zhuan jia 
宽松	kuan song 
永久居留	yong jiu ju liu 
博士后	bo shi hou 
批发市场	pi fa shi chang 
呼伦贝尔市	hu lun bei er shi 
棚户区	peng hu qu 
演员	yan yuan 
指派	zhi pai 
服务型	fu wu xing 
技术引进	ji shu yin jin 
重大案件	zhong da an jian 
聊城	liao cheng 
统战部门	tong zhan bu men 
喜闻乐见	xi wen le jian 
包装材料	bao zhuang cai liao 
集成电路产业	ji cheng dian lu chan ye 
网络空间	wang luo kong jian 
遭受	zao shou 
持续	chi xu 
备案号	bei an hao 
安阳市	an yang shi 
清明节	qing ming jie 
全文如下	quan wen ru xia 
三农	san nong 
转变	zhuan bian 
机会	ji hui 
深化改革	shen hua gai ge 
本次	ben ci 
宣传	xuan chuan 
跨媒体	kua mei ti 
昆明	kun ming 
无纸化	wu zhi hua 
川陕	chuan shan 
制度	zhi du 
终止	zhong zhi 
粮食价格	liang shi jia ge 
园区	yuan qu 
发电量	fa dian liang 
抗力	kang li 
抑制	yi zhi 
国资	guo zi 
发布者	fa bu zhe 
记者站	ji zhe zhan 
西海岸	xi hai an 
二氧化碳	er yang hua tan 
购进	gou jin 
中山	zhong shan 
合理安排	he li an pai 
助老	zhu lao 
广场	guang chang 
西路	xi lu 
三亚市	san ya shi 
倒损	dao sun 
代收	dai shou 
引咎辞职	yin jiu ci zhi 
公共服务	gong gong fu wu 
病害	bing hai 
必要时	bi yao shi 
方便	fang bian 
联产	lian chan 
第十三个五年规划纲要	di shi san ge wu nian gui hua gang yao 
对受	dui shou 
干扰	gan rao 
贸促会	mao cu hui 
直辖	zhi xia 
机构编制	ji gou bian zhi 
超采	chao cai 
均衡	jun heng 
绩溪县	ji xi xian 
共和县	gong he xian 
秦安县	qin an xian 
革新	ge xin 
伟大事业	wei da shi ye 
选出	xuan chu 
纯洁性	chun jie xing 
通报制度	tong bao zhi du 
国家统计局	guo jia tong ji ju 
潜力	qian li 
韶关市	shao guan shi 
机遇	ji yu 
公认	gong ren 
纽带	niu dai 
写作	xie zuo 
查明	cha ming 
高职	gao zhi 
乳制品	ru zhi pin 
共治	gong zhi 
票数	piao shu 
佩戴	pei dai 
国际奥林匹克委员会	guo ji ao lin pi ke wei yuan hui 
年龄	nian ling 
法律咨询	fa lv zi xun 
处方	chu fang 
用药	yong yao 
四科	si ke 
动植物	dong zhi wu 
保险业务	bao xian ye wu 
管理工作	guan li gong zuo 
池州	chi zhou 
某些	mou xie 
去向	qu xiang 
汇算	hui suan 
同等条件	tong deng tiao jian 
内审	nei shen 
随班	sui ban 
宅基地	zhai ji di 
效益	xiao yi 
主席团	zhu xi tuan 
星花	xing hua 
家属	jia shu 
法和本	fa he ben 
具体条件	ju ti tiao jian 
盘锦市	pan jin shi 
三江侗族自治县	san jiang dong zu zi zhi xian 
纯洁	chun jie 
第七次	di qi ci 
避开	bi kai 
交通局	jiao tong ju 
北仑区	bei lun qu 
收支	shou zhi 
艺术	yi shu 
供应链	gong ying lian 
家禽业	jia qin ye 
获奖者	huo jiang zhe 
处分	chu fen 
强化食品	qiang hua shi pin 
医学	yi xue 
全会	quan hui 
实事求是	shi shi qiu shi 
表率	biao shuai 
多边	duo bian 
高举	gao ju 
定点	ding dian 
健身	jian shen 
从业人员	cong ye ren yuan 
债转股	zhai zhuan gu 
自然生态	zi ran sheng tai 
通知书	tong zhi shu 
不断加强	bu duan jia qiang 
真实性	zhen shi xing 
提示	ti shi 
冠军	guan jun 
考核制度	kao he zhi du 
剥夺	bo duo 
详细	xiang xi 
顺利	shun li 
连锁	lian suo 
综合治理委员会	zong he zhi li wei yuan hui 
破坏	po huai 
金寨县	jin zhai xian 
终端产品	zhong duan chan pin 
第十条	di shi tiao 
基本保障	ji ben bao zhang 
血肉	xue rou 
产教	chan jiao 
泰康	tai kang 
义乌	yi wu 
军品	jun pin 
高级顾问	gao ji gu wen 
河北	he bei 
缓解	huan jie 
抗日	kang ri 
大连	da lian 
合法经营	he fa jing ying 
毁损	hui sun 
电气	dian qi 
高中	gao zhong 
通关	tong guan 
传真	chuan zhen 
人均	ren jun 
十九届三中全会	shi jiu jie san zhong quan hui 
第四季度	di si ji du 
人与自然	ren yu zi ran 
核准	he zhun 
缺少	que shao 
药用	yao yong 
时代特征	shi dai te zheng 
消费者	xiao fei zhe 
进城	jin cheng 
农牧渔业部	nong mu yu ye bu 
培训基地	pei xun ji di 
边防	bian fang 
合署	he shu 
离境	li jing 
创造条件	chuang zao tiao jian 
令行禁止	ling xing jin zhi 
治疗	zhi liao 
西至	xi zhi 
缴纳	jiao na 
连同	lian tong 
民航	min hang 
称号	cheng hao 
讲解	jiang jie 
村干部	cun gan bu 
兄弟姐妹	xiong di jie mei 
专项斗争	zhuan xiang dou zheng 
可信	ke xin 
柳州市	liu zhou shi 
南京	nan jing 
特许权	te xu quan 
通化市	tong hua shi 
天下	tian xia 
济宁市	ji ning shi 
功能	gong neng 
财政资金	cai zheng zi jin 
遗存	yi cun 
多样化	duo yang hua 
护林员	hu lin yuan 
通行证	tong xing zheng 
机电产品	ji dian chan pin 
东北振兴	dong bei zhen xing 
隐患	yin huan 
司法局	si fa ju 
战略方针	zhan lve fang zhen 
